Type 1	Type 2	#	HP	Attack	Defense	Sp. Atk	Sp. Def	Speed	Total	Generation	Legendary
Electric	Fairy	702.0	67.0	58.0	57.0	81.0	67.0	101.0	431.0	6.0	0.0
Electric	Flying	499.0	70.6	90.0	78.4	115.0	83.4	100.2	537.6	4.0	0.6
Electric	Ghost	479.0	50.0	50.0	77.0	95.0	77.0	91.0	440.0	4.0	0.0
Electric	Normal	694.5	53.0	46.5	42.5	85.0	68.5	89.5	385.0	6.0	0.0
Electric	Fire	479.0	50.0	65.0	107.0	105.0	107.0	86.0	520.0	4.0	0.0
Electric	Grass	479.0	50.0	65.0	107.0	105.0	107.0	86.0	520.0	4.0	0.0
Electric	Ice	479.0	50.0	65.0	107.0	105.0	107.0	86.0	520.0	4.0	0.0
Electric	Water	479.0	50.0	65.0	107.0	105.0	107.0	86.0	520.0	4.0	0.0
Electric	Steel	208.33333333333334	48.333333333333336	55.0	93.33333333333333	115.0	71.66666666666667	58.333333333333336	441.6666666666667	2.0	0.0
Electric	Dragon	181.0	90.0	95.0	105.0	165.0	110.0	45.0	610.0	2.0	0.0
Fairy	Flying	322.0	70.0	45.0	90.0	100.0	110.0	60.0	475.0	3.0	0.0
Fighting	Flying	701.0	78.0	92.0	75.0	74.0	63.0	118.0	500.0	6.0	0.0
Fighting	Steel	448.0	70.0	127.5	79.0	127.5	70.0	101.0	575.0	4.0	0.0
Fighting	Psychic	307.6666666666667	50.0	66.66666666666667	71.66666666666667	60.0	71.66666666666667	80.0	400.0	3.0	0.0
Fighting	Dark	675.0	95.0	124.0	78.0	69.0	71.0	58.0	495.0	6.0	0.0
Fire	Dragon	6.0	78.0	130.0	111.0	130.0	85.0	100.0	634.0	1.0	0.0
Fire	Flying	288.8333333333333	82.0	95.33333333333333	77.0	105.5	93.33333333333333	98.33333333333333	551.5	2.8333333333333335	0.3333333333333333
Fire	Normal	667.5	74.0	59.0	65.0	91.0	60.0	89.0	438.0	6.0	0.0
Fire	Psychic	605.0	90.0	49.5	88.5	127.0	102.5	79.5	537.0	5.5	0.0
Fire	Fighting	364.57142857142856	80.0	109.0	64.71428571428571	96.71428571428571	64.71428571428571	77.71428571428571	492.85714285714283	3.857142857142857	0.0
Fire	Steel	485.0	91.0	90.0	106.0	130.0	106.0	77.0	600.0	4.0	1.0
Fire	Water	721.0	80.0	110.0	120.0	130.0	90.0	70.0	600.0	6.0	1.0
Fire	Ground	322.6666666666667	66.66666666666667	93.33333333333333	70.0	105.0	75.0	31.666666666666668	441.6666666666667	3.0	0.0
Fire	Rock	219.0	50.0	50.0	120.0	80.0	80.0	30.0	410.0	2.0	0.0
Flying	Dragon	714.5	62.5	50.0	57.5	71.0	60.0	89.0	390.0	6.0	0.0
Ghost	Poison	93.25	48.75	53.75	53.75	128.75	65.0	103.75	453.75	1.0	0.0
Ghost	Dragon	487.0	150.0	110.0	110.0	110.0	110.0	90.0	680.0	4.0	1.0
Ghost	Flying	425.5	120.0	65.0	39.0	75.0	49.0	75.0	423.0	4.0	0.0
Ghost	Grass	710.1	61.4	81.4	89.2	52.3	66.2	59.4	409.9	6.0	0.0
Ghost	Fire	608.0	56.666666666666664	41.666666666666664	68.33333333333333	101.66666666666667	68.33333333333333	51.666666666666664	388.3333333333333	5.0	0.0
Ghost	Dark	442.0	50.0	92.0	108.0	92.0	108.0	35.0	485.0	4.0	0.0
Grass	Dragon	254.0	70.0	110.0	75.0	145.0	85.0	145.0	630.0	3.0	0.0
Grass	Fairy	546.5	50.0	47.0	72.5	57.0	62.5	91.0	380.0	5.0	0.0
Grass	Flying	282.6	72.8	61.2	63.6	65.4	75.4	83.6	422.0	2.6	0.2
Grass	Fighting	526.0	79.66666666666667	109.0	91.33333333333333	74.66666666666667	88.0	80.66666666666667	523.3333333333334	4.666666666666667	0.3333333333333333
Grass	Dark	293.6666666666667	76.66666666666667	95.0	53.333333333333336	88.33333333333333	53.333333333333336	65.0	431.6666666666667	3.0	0.0
Grass	Ground	389.0	95.0	109.0	105.0	75.0	85.0	56.0	525.0	4.0	0.0
Grass	Poison	177.33333333333334	64.86666666666666	70.53333333333333	62.53333333333333	87.13333333333334	75.33333333333333	53.666666666666664	414.06666666666666	2.066666666666667	0.0
Grass	Psychic	102.5	77.5	67.5	82.5	92.5	55.0	47.5	422.5	1.0	0.0
Grass	Ice	459.6666666666667	80.0	95.33333333333333	76.66666666666667	95.33333333333333	83.33333333333333	43.333333333333336	474.0	4.0	0.0
Grass	Steel	597.5	59.0	72.0	111.0	39.0	101.0	15.0	397.0	5.0	0.0
Ground	Flying	492.25	79.5	110.0	102.5	75.0	75.0	93.0	535.0	4.0	0.5
Ground	Fire	383.0	100.0	180.0	160.0	150.0	90.0	90.0	770.0	3.0	1.0
Ground	Steel	530.0	110.0	135.0	60.0	50.0	65.0	88.0	508.0	5.0	0.0
Ground	Dragon	329.5	65.0	85.0	65.0	65.0	65.0	85.0	430.0	3.0	0.0
Ground	Dark	552.0	68.33333333333333	90.33333333333333	53.333333333333336	48.333333333333336	50.0	77.0	387.3333333333333	5.0	0.0
Ground	Psychic	343.5	50.0	55.0	80.0	55.0	95.0	65.0	400.0	3.0	0.0
Ground	Ghost	622.5	74.0	99.0	65.0	45.0	65.0	45.0	393.0	5.0	0.0
Ground	Rock	229.0	100.0	118.33333333333333	115.0	43.333333333333336	43.333333333333336	35.0	455.0	2.0	0.0
Ground	Electric	618.0	109.0	66.0	84.0	81.0	99.0	32.0	471.0	5.0	0.0
Ice	Ghost	478.0	70.0	80.0	70.0	80.0	70.0	110.0	480.0	4.0	0.0
Ice	Flying	184.5	67.5	70.0	72.5	80.0	85.0	80.0	455.0	1.5	0.5
Ice	Psychic	181.0	55.0	40.0	25.0	100.0	80.0	80.0	380.0	1.5	0.0
Ice	Ground	304.6666666666667	86.66666666666667	93.33333333333333	66.66666666666667	53.333333333333336	50.0	60.0	410.0	2.6666666666666665	0.0
Ice	Water	364.0	90.0	60.0	70.0	75.0	70.0	45.0	410.0	3.0	0.0
Normal	Fighting	538.0	82.5	132.0	92.0	65.5	86.5	131.5	590.0	4.5	0.0
Normal	Psychic	425.5	85.0	78.5	71.0	109.0	96.5	87.5	527.5	3.5	0.0
Normal	Grass	585.5	70.0	80.0	60.0	50.0	60.0	85.0	405.0	5.0	0.0
Normal	Ground	660.0	85.0	56.0	77.0	50.0	77.0	78.0	423.0	6.0	0.0
Normal	Flying	278.5416666666667	62.041666666666664	73.04166666666667	54.166666666666664	52.666666666666664	52.208333333333336	77.83333333333333	371.9583333333333	2.875	0.0
Normal	Water	400.0	79.0	85.0	60.0	55.0	60.0	71.0	410.0	4.0	0.0
Normal	Fairy	216.4	99.6	45.0	49.2	54.0	52.2	30.0	330.0	2.4	0.0
Poison	Flying	84.0	66.66666666666667	71.66666666666667	61.666666666666664	55.0	65.0	91.66666666666667	411.6666666666667	1.3333333333333333	0.0
Poison	Dark	440.3333333333333	78.66666666666667	82.0	74.66666666666667	57.333333333333336	59.0	84.33333333333333	436.0	4.0	0.0
Poison	Ground	32.5	85.5	97.0	82.0	80.0	80.0	80.5	505.0	1.0	0.0
Poison	Fighting	453.5	65.5	83.5	52.5	73.5	52.5	67.5	395.0	4.0	0.0
Poison	Bug	451.0	40.0	50.0	90.0	30.0	55.0	65.0	330.0	4.0	0.0
Poison	Dragon	691.0	65.0	75.0	90.0	97.0	123.0	44.0	494.0	6.0	0.0
Poison	Water	690.0	50.0	60.0	60.0	60.0	60.0	30.0	320.0	6.0	0.0
Psychic	Fighting	366.6666666666667	80.66666666666667	160.0	86.66666666666667	94.66666666666667	110.0	106.66666666666667	638.6666666666666	3.0	0.3333333333333333
Psychic	Fire	494.0	100.0	100.0	100.0	100.0	100.0	100.0	600.0	5.0	1.0
Psychic	Grass	251.0	100.0	100.0	100.0	100.0	100.0	100.0	600.0	2.0	0.0
Psychic	Flying	370.0	67.5	62.5	70.5	81.66666666666667	74.5	93.0	449.6666666666667	3.5	0.16666666666666666
Psychic	Dark	720.0	80.0	160.0	60.0	170.0	130.0	80.0	680.0	6.0	1.0
Psychic	Fairy	281.0	43.666666666666664	46.666666666666664	50.0	95.0	91.66666666666667	70.0	397.0	2.8333333333333335	0.0
Psychic	Ghost	720.0	80.0	110.0	60.0	150.0	130.0	70.0	600.0	6.0	1.0
Rock	Flying	354.25	72.5	123.0	65.0	79.0	70.0	115.0	524.5	3.0	0.0
Rock	Fighting	639.0	91.0	129.0	90.0	72.0	90.0	108.0	580.0	5.0	1.0
Rock	Fairy	713.6666666666666	50.0	103.33333333333333	136.66666666666666	103.33333333333333	136.66666666666666	70.0	600.0	6.0	0.6666666666666666
Rock	Psychic	337.5	70.0	75.0	75.0	75.0	75.0	70.0	440.0	3.0	0.0
Rock	Dark	248.0	100.0	149.0	130.0	95.0	110.0	66.0	650.0	2.0	0.0
Rock	Bug	347.5	60.0	110.0	75.0	55.0	65.0	60.0	425.0	3.0	0.0
Rock	Dragon	696.5	70.0	105.0	98.0	57.0	52.0	59.5	441.5	6.0	0.0
Rock	Water	322.5	51.5	75.33333333333333	100.33333333333333	69.66666666666667	63.666666666666664	57.166666666666664	417.6666666666667	2.6666666666666665	0.0
Rock	Ice	698.5	100.0	68.0	61.0	83.0	77.5	52.0	441.5	6.0	0.0
Rock	Ground	135.5	55.0	81.33333333333333	104.16666666666667	45.0	50.833333333333336	43.666666666666664	380.0	1.3333333333333333	0.0
Rock	Steel	432.3333333333333	50.0	49.666666666666664	143.66666666666666	54.666666666666664	125.33333333333333	33.333333333333336	456.6666666666667	4.0	0.0
Rock	Grass	345.5	76.0	61.0	87.0	71.0	97.0	33.0	425.0	3.0	0.0
Steel	Fighting	638.0	91.0	90.0	129.0	90.0	72.0	108.0	580.0	5.0	1.0
Steel	Dragon	483.0	100.0	120.0	120.0	150.0	100.0	90.0	680.0	4.0	1.0
Steel	Flying	227.0	65.0	80.0	140.0	40.0	70.0	70.0	465.0	2.0	0.0
Steel	Psychic	394.14285714285717	69.14285714285714	89.0	108.85714285714286	70.42857142857143	91.71428571428571	59.42857142857143	488.57142857142856	3.2857142857142856	0.14285714285714285
Steel	Fairy	437.6666666666667	52.333333333333336	90.0	100.33333333333333	63.333333333333336	79.0	58.333333333333336	443.3333333333333	4.0	0.0
Steel	Ghost	680.25	56.0	97.5	112.5	70.0	71.5	45.75	453.25	6.0	0.0
Steel	Rock	305.0	60.0	90.0	140.0	50.0	50.0	40.0	430.0	3.0	0.0
Steel	Ground	208.0	75.0	105.0	215.0	55.0	80.0	30.0	560.0	2.0	0.0
Water	Fighting	452.0	90.66666666666667	79.66666666666667	91.66666666666667	109.33333333333333	90.0	95.33333333333333	556.6666666666666	3.6666666666666665	0.0
Water	Dragon	357.0	82.5	107.5	97.5	122.5	107.5	92.5	610.0	3.0	0.5
Water	Dark	347.6666666666667	69.16666666666667	120.0	65.16666666666667	88.83333333333333	63.5	87.16666666666667	493.8333333333333	3.1666666666666665	0.0
Water	Poison	118.66666666666667	61.666666666666664	68.33333333333333	58.333333333333336	61.666666666666664	91.66666666666667	85.0	426.6666666666667	1.3333333333333333	0.0
Water	Flying	361.7142857142857	63.142857142857146	56.57142857142857	63.142857142857146	67.28571428571429	81.85714285714286	72.0	404.0	3.2857142857142856	0.0
Water	Electric	170.5	100.0	48.0	48.0	66.0	66.0	67.0	395.0	2.0	0.0
Water	Ice	103.0	90.0	83.33333333333333	113.33333333333333	80.0	78.33333333333333	66.66666666666667	511.6666666666667	1.0	0.0
Water	Steel	395.0	84.0	86.0	88.0	111.0	101.0	60.0	530.0	4.0	0.0
Water	Ground	334.3	87.1	84.4	71.4	69.4	68.4	53.2	433.9	3.3	0.0
Water	Ghost	592.5	77.5	50.0	60.0	75.0	95.0	50.0	407.5	5.0	0.0
Water	Grass	271.0	60.0	50.0	50.0	63.333333333333336	73.33333333333333	50.0	346.6666666666667	3.0	0.0
Water	Fairy	183.5	85.0	35.0	65.0	40.0	65.0	45.0	335.0	2.0	0.0
Water	Psychic	111.8	87.0	73.0	104.0	94.0	79.0	44.0	481.0	1.2	0.0
Water	Rock	430.0	70.75	82.75	112.75	61.5	65.0	36.0	428.75	3.75	0.0
